trade_num,signal_index,direction,outcome,risk_amount,pnl,balance,peak_balance,drawdown_abs,drawdown_pct
1,9,long,tp2,10.0,20.0,1020.0,1020.0,0.0,0.0
2,27,long,sl,10.2,-10.2,1009.8,1020.0,10.2,1.0
3,55,short,sl,10.098,-10.098,999.702,1020.0,20.298,1.99
4,68,long,tp1_only,9.997,9.997,1009.699,1020.0,10.301,1.0099
5,81,short,tp1_only,10.097,10.097,1019.796,1020.0,0.204,0.02
6,92,short,sl,10.198,-10.198,1009.5981,1020.0,10.4019,1.0198
7,104,short,sl,10.096,-10.096,999.5021,1020.0,20.4979,2.0096
8,119,short,sl,9.995,-9.995,989.507,1020.0,30.493,2.9895
9,133,short,sl,9.8951,-9.8951,979.612,1020.0,40.388,3.9596
10,143,long,sl,9.7961,-9.7961,969.8159,1020.0,50.1841,4.92
11,152,short,sl,9.6982,-9.6982,960.1177,1020.0,59.8823,5.8708
12,165,long,tp2,9.6012,19.2024,979.3201,1020.0,40.6799,3.9882
13,176,short,sl,9.7932,-9.7932,969.5269,1020.0,50.4731,4.9483
14,196,short,tp1_only,9.6953,9.6953,979.2221,1020.0,40.7779,3.9978
15,217,short,sl,9.7922,-9.7922,969.4299,1020.0,50.5701,4.9579
16,230,long,sl,9.6943,-9.6943,959.7356,1020.0,60.2644,5.9083
17,240,long,sl,9.5974,-9.5974,950.1382,1020.0,69.8618,6.8492
18,251,long,sl,9.5014,-9.5014,940.6369,1020.0,79.3631,7.7807
19,266,long,sl,9.4064,-9.4064,931.2305,1020.0,88.7695,8.7029
20,276,short,tp2,9.3123,18.6246,949.8551,1020.0,70.1449,6.877
21,285,short,timeout,9.4986,0.0,949.8551,1020.0,70.1449,6.877
22,295,short,sl,9.4986,-9.4986,940.3566,1020.0,79.6434,7.8082
23,309,short,tp1_only,9.4036,9.4036,949.7601,1020.0,70.2399,6.8863
24,327,short,tp2,9.4976,18.9952,968.7553,1020.0,51.2447,5.024
25,340,long,tp1_only,9.6876,9.6876,978.4429,1020.0,41.5571,4.0742
26,356,long,sl,9.7844,-9.7844,968.6584,1020.0,51.3416,5.0335
27,367,long,tp2,9.6866,19.3732,988.0316,1020.0,31.9684,3.1342
28,377,long,sl,9.8803,-9.8803,978.1513,1020.0,41.8487,4.1028
29,387,short,sl,9.7815,-9.7815,968.3698,1020.0,51.6302,5.0618
30,396,long,timeout,9.6837,0.0,968.3698,1020.0,51.6302,5.0618
31,408,short,sl,9.6837,-9.6837,958.6861,1020.0,61.3139,6.0112
32,417,short,sl,9.5869,-9.5869,949.0992,1020.0,70.9008,6.9511
33,427,long,sl,9.491,-9.491,939.6082,1020.0,80.3918,7.8815
34,443,long,sl,9.3961,-9.3961,930.2122,1020.0,89.7878,8.8027
35,453,short,sl,9.3021,-9.3021,920.91,1020.0,99.09,9.7147
36,467,short,sl,9.2091,-9.2091,911.7009,1020.0,108.2991,10.6176
37,480,long,tp1_only,9.117,9.117,920.8179,1020.0,99.1821,9.7237
38,492,short,sl,9.2082,-9.2082,911.6098,1020.0,108.3902,10.6265
39,502,long,sl,9.1161,-9.1161,902.4937,1020.0,117.5063,11.5202
40,532,long,tp2,9.0249,18.0499,920.5435,1020.0,99.4565,9.7506
41,544,long,sl,9.2054,-9.2054,911.3381,1020.0,108.6619,10.6531
42,555,short,sl,9.1134,-9.1134,902.2247,1020.0,117.7753,11.5466
43,564,long,tp2,9.0222,18.0445,920.2692,1020.0,99.7308,9.7775
44,575,long,sl,9.2027,-9.2027,911.0665,1020.0,108.9335,10.6798
45,591,long,sl,9.1107,-9.1107,901.9559,1020.0,118.0441,11.573
46,600,short,sl,9.0196,-9.0196,892.9363,1020.0,127.0637,12.4572
47,614,short,timeout,8.9294,0.0,892.9363,1020.0,127.0637,12.4572
48,623,long,sl,8.9294,-8.9294,884.0069,1020.0,135.9931,13.3327
49,639,long,sl,8.8401,-8.8401,875.1669,1020.0,144.8331,14.1993
50,648,long,tp2,8.7517,17.5033,892.6702,1020.0,127.3298,12.4833
51,658,long,tp1_only,8.9267,8.9267,901.5969,1020.0,118.4031,11.6081
52,672,long,tp2,9.016,18.0319,919.6288,1020.0,100.3712,9.8403
53,681,short,tp2,9.1963,18.3926,938.0214,1020.0,81.9786,8.0371
54,697,long,sl,9.3802,-9.3802,928.6412,1020.0,91.3588,8.9567
55,713,long,tp2,9.2864,18.5728,947.214,1020.0,72.786,7.1359
56,722,long,tp1_only,9.4721,9.4721,956.6862,1020.0,63.3138,6.2072
57,747,short,tp1_only,9.5669,9.5669,966.253,1020.0,53.747,5.2693
58,762,long,sl,9.6625,-9.6625,956.5905,1020.0,63.4095,6.2166
59,776,long,sl,9.5659,-9.5659,947.0246,1020.0,72.9754,7.1545
60,785,long,sl,9.4702,-9.4702,937.5544,1020.0,82.4456,8.0829
61,796,short,sl,9.3755,-9.3755,928.1788,1020.0,91.8212,9.0021
62,806,short,sl,9.2818,-9.2818,918.897,1020.0,101.103,9.9121
63,816,long,sl,9.189,-9.189,909.708,1020.0,110.292,10.8129
64,837,short,sl,9.0971,-9.0971,900.611,1020.0,119.389,11.7048
65,849,long,sl,9.0061,-9.0061,891.6049,1020.0,128.3951,12.5878
66,858,short,timeout,8.916,0.0,891.6049,1020.0,128.3951,12.5878
67,871,long,sl,8.916,-8.916,882.6888,1020.0,137.3112,13.4619
68,884,long,sl,8.8269,-8.8269,873.8619,1020.0,146.1381,14.3273
69,896,long,sl,8.7386,-8.7386,865.1233,1020.0,154.8767,15.184
70,915,long,sl,8.6512,-8.6512,856.4721,1020.0,163.5279,16.0322
71,924,long,tp1_only,8.5647,8.5647,865.0368,1020.0,154.9632,15.1925
72,936,short,tp2,8.6504,17.3007,882.3375,1020.0,137.6625,13.4963
73,945,short,timeout,8.8234,0.0,882.3375,1020.0,137.6625,13.4963
74,954,short,tp1_only,8.8234,8.8234,891.1609,1020.0,128.8391,12.6313
75,967,long,tp1_only,8.9116,8.9116,900.0725,1020.0,119.9275,11.7576
76,980,short,sl,9.0007,-9.0007,891.0718,1020.0,128.9282,12.64
77,995,long,sl,8.9107,-8.9107,882.1611,1020.0,137.8389,13.5136
78,1007,short,sl,8.8216,-8.8216,873.3395,1020.0,146.6605,14.3785
79,1023,long,tp1_only,8.7334,8.7334,882.0729,1020.0,137.9271,13.5223
80,1039,short,tp2,8.8207,17.6415,899.7143,1020.0,120.2857,11.7927
81,1049,long,sl,8.9971,-8.9971,890.7172,1020.0,129.2828,12.6748
82,1065,short,tp2,8.9072,17.8143,908.5315,1020.0,111.4685,10.9283
83,1080,short,sl,9.0853,-9.0853,899.4462,1020.0,120.5538,11.819
84,1093,long,sl,8.9945,-8.9945,890.4517,1020.0,129.5483,12.7008
85,1102,short,timeout,8.9045,0.0,890.4517,1020.0,129.5483,12.7008
86,1117,long,tp2,8.9045,17.809,908.2608,1020.0,111.7392,10.9548
87,1134,short,sl,9.0826,-9.0826,899.1782,1020.0,120.8218,11.8453
88,1143,long,timeout,8.9918,0.0,899.1782,1020.0,120.8218,11.8453
89,1158,short,tp2,8.9918,17.9836,917.1617,1020.0,102.8383,10.0822
90,1172,long,sl,9.1716,-9.1716,907.9901,1020.0,112.0099,10.9814
91,1194,long,sl,9.0799,-9.0799,898.9102,1020.0,121.0898,11.8715
92,1205,long,sl,8.9891,-8.9891,889.9211,1020.0,130.0789,12.7528
93,1218,long,sl,8.8992,-8.8992,881.0219,1020.0,138.9781,13.6253
94,1228,short,sl,8.8102,-8.8102,872.2117,1020.0,147.7883,14.4891
95,1237,long,sl,8.7221,-8.7221,863.4896,1020.0,156.5104,15.3442
96,1249,long,tp1_only,8.6349,8.6349,872.1245,1020.0,147.8755,14.4976
97,1262,long,tp2,8.7212,17.4425,889.5669,1020.0,130.4331,12.7876
98,1276,long,timeout,8.8957,0.0,889.5669,1020.0,130.4331,12.7876
99,1290,long,sl,8.8957,-8.8957,880.6713,1020.0,139.3287,13.6597
100,1312,long,tp2,8.8067,17.6134,898.2847,1020.0,121.7153,11.9329
101,1322,short,sl,8.9828,-8.9828,889.3018,1020.0,130.6982,12.8135
102,1346,short,sl,8.893,-8.893,880.4088,1020.0,139.5912,13.6854
103,1356,short,tp2,8.8041,17.6082,898.017,1020.0,121.983,11.9591
104,1365,short,tp2,8.9802,17.9603,915.9773,1020.0,104.0227,10.1983
105,1378,short,tp2,9.1598,18.3195,934.2969,1020.0,85.7031,8.4023
106,1395,long,tp2,9.343,18.6859,952.9828,1020.0,67.0172,6.5703
107,1408,long,sl,9.5298,-9.5298,943.453,1020.0,76.547,7.5046
108,1421,long,tp2,9.4345,18.8691,962.3221,1020.0,57.6779,5.6547
109,1432,short,sl,9.6232,-9.6232,952.6988,1020.0,67.3012,6.5982
110,1441,long,sl,9.527,-9.527,943.1719,1020.0,76.8281,7.5322
111,1451,short,tp2,9.4317,18.8634,962.0353,1020.0,57.9647,5.6828
112,1462,long,sl,9.6204,-9.6204,952.4149,1020.0,67.5851,6.626
113,1476,long,sl,9.5241,-9.5241,942.8908,1020.0,77.1092,7.5597
114,1489,long,sl,9.4289,-9.4289,933.4619,1020.0,86.5381,8.4841
115,1503,short,sl,9.3346,-9.3346,924.1273,1020.0,95.8727,9.3993
116,1517,long,timeout,9.2413,0.0,924.1273,1020.0,95.8727,9.3993
117,1530,short,sl,9.2413,-9.2413,914.886,1020.0,105.114,10.3053
118,1540,short,tp2,9.1489,18.2977,933.1837,1020.0,86.8163,8.5114
119,1549,short,sl,9.3318,-9.3318,923.8519,1020.0,96.1481,9.4263
120,1563,long,tp2,9.2385,18.477,942.3289,1020.0,77.6711,7.6148
121,1573,long,tp1_only,9.4233,9.4233,951.7522,1020.0,68.2478,6.691
122,1584,short,sl,9.5175,-9.5175,942.2347,1020.0,77.7653,7.6241
123,1593,long,sl,9.4223,-9.4223,932.8123,1020.0,87.1877,8.5478
124,1603,short,timeout,9.3281,0.0,932.8123,1020.0,87.1877,8.5478
125,1616,long,tp2,9.3281,18.6562,951.4686,1020.0,68.5314,6.7188
126,1625,long,sl,9.5147,-9.5147,941.9539,1020.0,78.0461,7.6516
127,1643,long,sl,9.4195,-9.4195,932.5344,1020.0,87.4656,8.5751
128,1667,long,sl,9.3253,-9.3253,923.209,1020.0,96.791,9.4893
129,1676,short,timeout,9.2321,0.0,923.209,1020.0,96.791,9.4893
130,1688,long,tp2,9.2321,18.4642,941.6732,1020.0,78.3268,7.6791
131,1697,long,sl,9.4167,-9.4167,932.2565,1020.0,87.7435,8.6023
132,1707,short,tp1_only,9.3226,9.3226,941.579,1020.0,78.421,7.6883
133,1718,long,sl,9.4158,-9.4158,932.1632,1020.0,87.8368,8.6114
134,1734,long,tp2,9.3216,18.6433,950.8065,1020.0,69.1935,6.7837
135,1743,long,sl,9.5081,-9.5081,941.2984,1020.0,78.7016,7.7158
136,1753,short,sl,9.413,-9.413,931.8854,1020.0,88.1146,8.6387
137,1762,long,sl,9.3189,-9.3189,922.5666,1020.0,97.4334,9.5523
138,1771,short,sl,9.2257,-9.2257,913.3409,1020.0,106.6591,10.4568
139,1780,long,sl,9.1334,-9.1334,904.2075,1020.0,115.7925,11.3522
140,1789,long,tp1_only,9.0421,9.0421,913.2496,1020.0,106.7504,10.4657
141,1799,long,tp2,9.1325,18.265,931.5146,1020.0,88.4854,8.675
142,1808,long,sl,9.3151,-9.3151,922.1994,1020.0,97.8006,9.5883
143,1820,long,tp1_only,9.222,9.222,931.4214,1020.0,88.5786,8.6842
144,1829,long,sl,9.3142,-9.3142,922.1072,1020.0,97.8928,9.5973
145,1839,short,tp1_only,9.2211,9.2211,931.3283,1020.0,88.6717,8.6933
146,1850,short,sl,9.3133,-9.3133,922.015,1020.0,97.985,9.6064
147,1863,long,sl,9.2202,-9.2202,912.7949,1020.0,107.2051,10.5103
148,1876,short,sl,9.1279,-9.1279,903.6669,1020.0,116.3331,11.4052
149,1885,long,tp2,9.0367,18.0733,921.7402,1020.0,98.2598,9.6333
150,1904,short,sl,9.2174,-9.2174,912.5228,1020.0,107.4772,10.537
151,1921,short,sl,9.1252,-9.1252,903.3976,1020.0,116.6024,11.4316
152,1930,long,sl,9.034,-9.034,894.3636,1020.0,125.6364,12.3173
153,1942,short,sl,8.9436,-8.9436,885.42,1020.0,134.58,13.1941
154,1953,long,tp2,8.8542,17.7084,903.1284,1020.0,116.8716,11.458
155,1962,long,tp2,9.0313,18.0626,921.191,1020.0,98.809,9.6872
